=== TOKENS DETECTADOS ===
Línea 75: ; (Signo)
Línea 76: Console (Identificador)
Línea 76: WriteLine (Identificador)
Línea 76: ( (Signo)
Línea 76: ) (Signo)
Línea 76: ; (Signo)
Línea 77: } (Signo)
Línea 78: Console (Identificador)
Línea 78: WriteLine (Identificador)
Línea 78: ( (Signo)
Línea 78: { (Signo)
Línea 78: 1 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 3 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 1 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 2 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 2 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 0 (Número)
Línea 78: } (Signo)
Línea 78: { (Signo)
Línea 78: 3 (Número)
Línea 78: } (Signo)
Línea 78: n (Identificador)
Línea 78: , (Signo)
Línea 78: u2550 (Identificador)
Línea 78: , (Signo)
Línea 78: u255A (Identificador)
Línea 78: , (Signo)
Línea 78: u2569 (Identificador)
Línea 78: , (Signo)
Línea 78: u255D (Identificador)
Línea 78: ) (Signo)
Línea 78: ; (Signo)
Línea 79: } (Signo)
Línea 81: static (Identificador)
Línea 81: int (Identificador)
Línea 81: leerNumero (Identificador)
Línea 81: ( (Signo)
Línea 81: String (Identificador)
Línea 81: variable (Identificador)
Línea 81: ) (Signo)
Línea 82: { (Signo)
Línea 83: char (Identificador)
Línea 83: tecla (Identificador)
Línea 83: ; (Signo)
Línea 84: Console (Identificador)
Línea 84: Write (Identificador)
Línea 84: ( (Signo)
Línea 84: Seleccione (Identificador)
Línea 84: el (Identificador)
Línea 84: n (Identificador)
Línea 84: u00FAmero (Identificador)
Línea 84: de (Identificador)
Línea 84: + (Operador)
Línea 84: variable (Identificador)
Línea 84: + (Operador)
Línea 84: ) (Signo)
Línea 84: ; (Signo)
Línea 85: do (Identificador)
Línea 86: tecla (Identificador)
Línea 86: = (Operador)
Línea 86: Console (Identificador)
Línea 86: ReadKey (Identificador)
Línea 86: ( (Signo)
Línea 86: true (Identificador)
Línea 86: ) (Signo)
Línea 86: KeyChar (Identificador)
Línea 86: ; (Signo)
Línea 87: while (Identificador)
Línea 87: ( (Signo)
Línea 87: tecla (Identificador)
Línea 87: != (Operador)
Línea 87: 1 (Número)
Línea 87: tecla (Identificador)
Línea 87: != (Operador)
Línea 87: 2 (Número)
Línea 87: tecla (Identificador)
Línea 87: != (Operador)
Línea 87: 3 (Número)
Línea 87: ) (Signo)
Línea 87: ; (Signo)
Línea 88: Console (Identificador)
Línea 88: WriteLine (Identificador)
Línea 88: ( (Signo)
Línea 88: tecla (Identificador)
Línea 88: ) (Signo)
Línea 88: ; (Signo)
Línea 89: return (Identificador)
Línea 89: tecla (Identificador)
Línea 89: - (Operador)
Línea 89: 0 (Número)
Línea 89: - (Operador)
Línea 89: 1 (Número)
Línea 89: ; (Signo)
Línea 90: } (Signo)
Línea 92: } (Signo)
Línea 93: } (Signo)

=== ERRORES LÉXICOS ===

=== RESULTADOS SINTÁCTICOS Y SEMÁNTICOS ===
Línea 1: using System; -> ❌ Estructura no reconocida
Línea 3: namespace TicTacToe -> ❌ Estructura no reconocida
Línea 4: { -> ❌ Estructura no reconocida
Línea 5: class TicTacToe -> ❌ Estructura no reconocida
Línea 6: { -> ❌ Estructura no reconocida
Línea 7: static void Main(string[] args) -> ❌ Estructura no reconocida
Línea 8: { -> ❌ Estructura no reconocida
Línea 9: Random rand = new Random(); -> ❌ Estructura no reconocida
Línea 10: char[][] tictactoe = new char[][] { new char[] { ' ', ' ', ' ' }, new char[] { ' ', ' ', ' ' }, new char[] { ' ', ' ', ' ' } }; -> ❌ Estructura no reconocida
Línea 11: char ganador = ' '; -> ❌ Estructura no reconocida
Línea 12: bool juega_cpu = rand.Next(2)==1; -> ❌ Estructura no reconocida
Línea 13: int i, j, turnos; -> ❌ Estructura no reconocida
Línea 14: for (turnos=0; turnos<9 && ganador!='O' && ganador!='X'; turnos++) -> ❌ Estructura no reconocida
Línea 15: { -> ❌ Estructura no reconocida
Línea 16: if (juega_cpu) -> ❌ Estructura no reconocida
Línea 17: { -> ❌ Estructura no reconocida
Línea 18: do -> ❌ Estructura no reconocida
Línea 19: { -> ❌ Estructura no reconocida
Línea 20: i = rand.Next(3); -> ❌ Variable no declarada antes de su uso
Línea 21: j = rand.Next(3); -> ❌ Variable no declarada antes de su uso
Línea 22: } while (tictactoe[i][j] != ' '); -> ❌ Estructura no reconocida
Línea 23: tictactoe[i][j] = 'O'; -> ❌ Estructura no reconocida
Línea 24: } -> ❌ Estructura no reconocida
Línea 25: else -> ❌ Estructura no reconocida
Línea 26: { -> ❌ Estructura no reconocida
Línea 27: imprimirCuadricula(tictactoe); -> ❌ Estructura no reconocida
Línea 28: do -> ❌ Estructura no reconocida
Línea 29: { -> ❌ Estructura no reconocida
Línea 30: i = leerNumero("rengl\u00F3n"); -> ❌ Variable no declarada antes de su uso
Línea 31: j = leerNumero("columna"); -> ❌ Variable no declarada antes de su uso
Línea 32: if (tictactoe[i][j] != ' ') -> ❌ Estructura no reconocida
Línea 33: Console.WriteLine("La casilla seleccionada ya est\u00E1 ocupada.\n"); -> ❌ Estructura no reconocida
Línea 34: } while (tictactoe[i][j] != ' '); -> ❌ Estructura no reconocida
Línea 35: tictactoe[i][j] = 'X'; -> ❌ Estructura no reconocida
Línea 36: } -> ❌ Estructura no reconocida
Línea 37: for (i=0; ganador==' ' && i<3; i++) -> ❌ Estructura no reconocida
Línea 38: if (tictactoe[i][0] != ' ' && tictactoe[i][0] == tictactoe[i][1] && tictactoe[i][1] == tictactoe[i][2]) -> ❌ Estructura no reconocida
Línea 39: ganador = tictactoe[i][0]; -> ❌ Variable no declarada antes de su uso
Línea 40: for (i=0; ganador==' ' && i<3; i++) -> ❌ Estructura no reconocida
Línea 41: if (tictactoe[0][i] != ' ' && tictactoe[0][i] == tictactoe[1][i] && tictactoe[1][i] == tictactoe[2][i]) -> ❌ Estructura no reconocida
Línea 42: ganador = tictactoe[0][i]; -> ❌ Variable no declarada antes de su uso
